business_segment,business_segment_sk
air_conditioning,Klimatizácie
audio_video_electronics,"Audio, video a elektronika"
baby,Potreby pre bábätká
bags_backpacks,Tašky a batohy
bed_bath_table,"Posteľ, kúpeľňa a stolovanie"
books,Knihy
car_accessories,Autopríslušenstvo
computers,Počítače
construction_tools_house_garden,"Stavebné náradie, dom a záhrada"
fashion_accessories,Módne doplnky
food_drink,Potraviny a nápoje
food_supplement,Výživové doplnky
games_consoles,Herné konzoly
gifts,Darčeky
handcrafted,Ručne vyrábané výrobky
health_beauty,Zdravie a krása
home_appliances,Domáce spotrebiče
home_decor,Bytové dekorácie
home_office_furniture,Nábytok pre domácu kanceláriu
household_utilities,Potreby pre domácnosť
jewerly,Šperky
music_instruments,Hudobné nástroje
other,Ostatné
party,Párty potreby
perfume,Parfumy
pet,Potreby pre zvieratá
phone_mobile,Mobilné telefóny
religious,Náboženský tovar
small_appliances,Malé domáce spotrebiče
sports_leisure,Šport a voľný čas
stationery,Papiernictvo
toys,Hračky
watches,Hodinky
